"Timestamp","What is your daily screen time on your phone? If you cant find the exact please round your answers."
"2021/10/28 10:40:05 AM MDT","2hrs"
"2021/10/28 10:45:09 AM MDT","6hrs"
"2021/10/28 10:46:36 AM MDT","11hrs"
"2021/10/28 10:49:56 AM MDT","2hrs"
"2021/10/28 10:50:52 AM MDT","4hrs"
"2021/10/28 10:56:43 AM MDT","2hrs"
"2021/10/28 11:01:37 AM MDT","6hrs"
"2021/10/28 11:01:50 AM MDT","4hrs"
"2021/10/28 11:01:50 AM MDT","12+hrs"
"2021/10/28 11:09:25 AM MDT","7hrs"
"2021/10/28 11:14:48 AM MDT","4hrs"
"2021/10/28 11:28:17 AM MDT","9hrs"
"2021/10/28 11:39:08 AM MDT","6hrs"
"2021/10/28 11:40:54 AM MDT","6hrs"
"2021/10/28 11:53:33 AM MDT","4hrs"
"2021/10/28 12:33:08 PM MDT","4hrs"
"2021/10/28 12:53:41 PM MDT","12hrs"
"2021/10/28 1:43:50 PM MDT","4hrs"
"2021/10/28 1:49:18 PM MDT","9hrs"
"2021/10/28 4:57:33 PM MDT","3hrs"
"2021/10/28 9:26:05 PM MDT","8hrs"
"2021/10/28 9:31:44 PM MDT","6hrs"
"2021/10/29 1:45:40 AM MDT","4hrs"
"2021/10/29 2:55:36 AM MDT","11hrs"
"2021/10/29 3:02:48 PM MDT","4hrs"
"2021/10/30 10:18:11 AM MDT","4hrs"
"2021/10/30 10:18:19 AM MDT","5hrs"
"2021/10/30 10:18:42 AM MDT","5hrs"
